treat,rep,13-Jun,16-Jun,18-Jun,20-Jun,23-Jun,25-Jun,27-Jun,30-Jun,2-Jul,4-Jul,7-Jul,9-Jul,11-Jul,14-Jul,16-Jul,first_baby_date,first_baby_day,death_date,death_day,censored
Control,1,0,0,0,2,12,1,8,14,0,9,22,2,12,14,9,19-Jun,8,NA,35,0
Control,2,0,0,0,3,12,12,7,12,14,14,19,14,5,0,NA,19-Jun,8,14-Jul,33,1
Control,3,0,0,5,0,15,11,0,15,2,15,28,15,11,16,16,18-Jun,7,NA,35,0
Control,4,0,0,2,5,6,4,4,5,7,6,12,0,12,9,12,17-Jun,6,NA,35,0
Control,5,0,0,0,4,15,1,8,6,0,14,14,0,8,14,7,19-Jun,8,NA,35,0
Control,6,0,0,3,6,7,13,10,12,13,19,16,14,18,22,14,18-Jun,7,NA,35,0
Control,7,0,0,0,5,6,13,9,8,17,16,18,18,21,18,14,20-Jun,9,NA,35,0
Control,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-Jun,5,1
Control,9,0,0,4,6,9,15,12,13,17,15,17,16,23,23,9,18-Jun,7,NA,35,0
Control,10,0,0,4,4,7,15,7,10,8,7,11,5,0,0,NA,18-Jun,7,14-Jul,33,1
Control,11,0,0,0,1,14,5,0,7,9,5,8,6,11,15,17,19-Jun,8,NA,35,0
Control,12,0,0,1,3,12,0,11,10,8,5,10,12,12,15,14,18-Jun,7,NA,35,0
Control,13,0,0,2,2,14,10,0,18,11,0,23,1,12,17,20,18-Jun,7,NA,35,0
Control,14,0,0,4,0,9,14,1,15,14,13,15,11,8,32,0,18-Jun,7,NA,35,0
Control,15,0,0,4,2,6,14,9,10,15,16,16,20,22,24,2,18-Jun,7,NA,35,0
Control,16,0,0,0,1,9,9,7,7,7,9,12,10,13,12,15,20-Jun,9,NA,35,0
Control,17,0,0,2,6,11,15,14,17,18,18,21,17,20,20,0,18-Jun,7,NA,35,0
Control,18,0,0,0,2,16,11,8,13,15,16,19,21,26,18,16,19-Jun,8,NA,35,0
Control,19,0,0,2,3,7,12,7,7,12,9,9,27,24,22,15,18-Jun,7,NA,35,0
Control,20,0,0,0,3,11,0,6,0,1,5,11,15,17,17,18,19-Jun,8,NA,35,0
LowT,1,0,0,3,2,17,10,0,15,2,12,8,8,10,11,7,18-Jun,7,NA,35,0
LowT,2,0,0,6,0,13,12,7,14,11,14,13,16,0,45,0,18-Jun,7,NA,35,0
LowT,3,0,0,4,0,15,7,9,11,14,14,12,14,0,36,0,18-Jun,7,NA,35,0
LowT,4,0,0,2,0,10,11,10,12,19,14,18,19,0,35,0,18-Jun,7,NA,35,0
LowT,5,0,0,1,0,12,10,3,17,16,13,17,17,0,43,0,18-Jun,7,NA,35,0
LowT,6,0,0,4,5,13,12,9,11,0,19,17,19,17,19,18,18-Jun,7,NA,35,0
LowT,7,0,0,2,5,3,16,9,11,16,14,15,9,13,21,17,18-Jun,7,NA,35,0
LowT,8,0,0,0,3,9,10,12,13,16,12,13,14,11,15,12,19-Jun,8,NA,35,0
