week,rep,treat.ID,anti.treat,para.treat,ad.fem,juv.fem,ad.male,juv.male,eph.fem,ad.fem.inf,juv.fem.inf,ad.male.inf,juv.male.inf,eph.fem.inf,tot.num,num.inf,prop.inf
1,1,B,tetra,exposed,3,3,0,0,0,0,0,0,0,0,6,0,0
2,1,B,tetra,exposed,4,1,0,0,0,4,0,0,0,0,9,4,0.444444444
3,1,B,tetra,exposed,0,7,0,0,0,3,0,0,0,0,10,3,0.3
4,1,B,tetra,exposed,1,6,0,0,0,4,0,0,0,0,11,4,0.363636364
5,1,B,tetra,exposed,0,2,0,0,0,9,0,0,0,0,11,9,0.818181818
6,1,B,tetra,exposed,1,4,0,0,0,13,0,0,0,0,18,13,0.722222222
7,1,B,tetra,exposed,0,1,0,0,0,2,0,0,0,0,3,2,0.666666667
8,1,B,tetra,exposed,3,3,0,0,0,0,0,0,0,0,6,0,0
1,2,B,tetra,exposed,2,1,0,0,0,0,0,0,0,0,3,0,0
2,2,B,tetra,exposed,0,1,0,0,0,2,0,0,0,0,3,2,0.666666667
3,2,B,tetra,exposed,1,1,0,0,0,1,0,0,0,0,3,1,0.333333333
4,2,B,tetra,exposed,2,1,0,0,0,10,0,0,0,0,13,10,0.769230769
5,2,B,tetra,exposed,1,1,0,0,0,3,0,0,0,0,5,3,0.6
6,2,B,tetra,exposed,2,1,0,0,0,5,0,0,0,0,8,5,0.625
7,2,B,tetra,exposed,3,1,0,0,0,2,0,0,0,0,6,2,0.333333333
8,2,B,tetra,exposed,1,2,0,0,0,3,0,0,0,0,6,3,0.5
1,3,B,tetra,exposed,5,6,0,0,0,0,0,0,0,0,11,0,0
2,3,B,tetra,exposed,0,3,0,0,0,1,0,0,0,0,4,1,0.25
3,3,B,tetra,exposed,5,2,0,0,0,2,0,0,0,0,9,2,0.222222222
4,3,B,tetra,exposed,1,5,0,0,0,4,0,0,0,0,10,4,0.4
5,3,B,tetra,exposed,5,5,0,0,0,2,0,0,0,0,12,2,0.166666667
6,3,B,tetra,exposed,7,4,0,0,0,9,0,0,0,0,20,9,0.45
7,3,B,tetra,exposed,3,3,0,0,0,6,0,0,0,0,12,6,0.5
8,3,B,tetra,exposed,2,2,0,0,0,1,0,0,0,0,5,1,0.2
